ticker,pdufa_date,outcome,confidence
PFE,2025-11-21,Approved,price-only
BAYRY,2025-11-20,Approved,price-only
AZN,2025-11-20,Approved,price-only
AMGN,2025-11-19,Approved,price-only
TARA,2025-11-19,CRL,price-only
REGN,2025-11-19,Approved,price-only
ARWR,2025-11-18,Approved,price-only
KZIA,2025-11-18,CRL,price-only
GMAB,2025-11-18,Approved,price-only
ABBV,2025-11-18,Approved,price-only
OGN,2025-11-17,Approved,price-only
KURA,2025-11-13,Approved,price-only
AMRX,2025-11-13,Approved,price-only
ENGN,2025-11-11,CRL,source-verified
CYTK,2025-11-07,CRL,price-only
RPRX,2025-11-07,CRL,price-only
JNJ,2025-11-07,Approved,price-only
BCAB,2025-11-07,Approved,price-only
JNJ,2025-11-06,Approved,price-only
CLDX,2025-11-06,CRL,price-only
IBRX,2025-11-05,CRL,price-only
BHVN,2025-11-04,CRL,price-only
ESLA,2025-11-03,CRL,source-verified
AGIO,2025-11-03,Approved,price-only
ALVO,2025-11-02,CRL,price-only
AMRX,2025-10-29,Approved,price-only
ONCY,2025-10-28,Approved,price-only
LLY,2025-10-27,Approved,price-only
MRK,2025-10-27,Approved,price-only
SNDX,2025-10-24,Approved,price-only
BAYRY,2025-10-24,Approved,price-only
GSK,2025-10-23,Approved,price-only
GKOS,2025-10-20,Approved,price-only
RHHBY,2025-10-20,Approved,price-only
SNSE,2025-10-17,CRL,source-verified
AZN,2025-10-17,Approved,price-only
AMGN,2025-10-17,Approved,price-only
REGN,2025-10-17,CRL,price-only
NVO,2025-10-15,Approved,price-only
CGEM,2025-10-13,CRL,price-only
ABBV,2025-10-13,Approved,price-only
TEVA,2025-10-10,Approved,price-only
REGN,2025-10-08,Approved,price-only
ARQT,2025-10-06,Approved,price-only
RHHBY,2025-10-02,Approved,price-only
JAZZ,2025-10-02,Approved,price-only
FBIO,2025-10-01,CRL,price-only
NVS,2025-09-30,Approved,price-only
JNJ,2025-09-29,Approved,price-only
LLY,2025-09-25,Approved,price-only
CRNX,2025-09-25,Approved,price-only
BIIB,2025-09-23,CRL,price-only
AMRX,2025-09-23,Approved,price-only
SRRK,2025-09-23,CRL,price-only
IONS,2025-09-23,CRL,price-only
INCY,2025-09-19,Approved,price-only
MRK,2025-09-19,Approved,price-only
JNJ,2025-09-19,Approved,price-only
KRYS,2025-09-15,Approved,price-only
GMAB,2025-09-12,CRL,price-only
AMRX,2025-09-11,Approved,price-only
JNJ,2025-09-09,Approved,price-only
TAK,2025-09-05,Approved,price-only
AMRX,2025-09-04,Approved,price-only
SNY,2025-08-29,Approved,price-only
BIIB,2025-08-29,Approved,price-only
OTLK,2025-08-28,CRL,source-verified
TEVA,2025-08-28,Approved,price-only
LGND,2025-08-27,Approved,price-only
BNTX,2025-08-27,Approved,price-only
MRNA,2025-08-27,Approved,price-only
TVTX,2025-08-27,Approved,price-only
NVAX,2025-08-27,Approved,price-only
PRTA,2025-08-27,Approved,price-only
PFE,2025-08-27,Approved,price-only
MRKR,2025-08-26,CRL,price-only
VALN,2025-08-25,Approved,price-only
IONI,2025-08-21,Approved,price-only
IONS,2025-08-21,Approved,price-only
PTCT,2025-08-19,CRL,price-only
PGEN,2025-08-15,Approved,price-only
NVO,2025-08-15,Approved,price-only
TNXP,2025-08-15,Approved,price-only
IBRX,2025-08-13,CRL,price-only
INSM,2025-08-12,Approved,price-only
PHRRF,2025-08-11,Approved,price-only
AMPH,2025-08-11,Approved,price-only
TEVA,2025-08-06,Approved,price-only
JAZZ,2025-08-06,Approved,price-only
LENZ,2025-07-31,Approved,price-only
REGN,2025-07-30,CRL,price-only
ZLAB,2025-07-30,CRL,price-only
ANIK,2025-07-30,Approved,price-only
ASND,2025-07-28,Approved,price-only
PTCT,2025-07-28,Approved,price-only
