ticker,pdufa_date,outcome,confidence,cohort,year,entry_date,exit_date,entry_px,ret,excess,beat_xbi,rs_21,rs_63,rs_126,mom_126,beta_xbi,atr14,dnvol_60,review_priority,prior_fda_approvals,adv_usd,premom_60_30,prevol_60_30,xbi_above_200d,xbi_ret_63d,vix,tnx,tnx_chg_63d,split
AZN,2026-05-15,Approved,other,P,2026,2026-04-15,2026-05-08,201.21,-0.091248,-0.078496,0,-0.053288,-0.026148,-0.097617,0.202862,0.2751,0.0235,0.01157,STANDARD,59,373904691.0,0.047914,0.015016,1,0.101736,18.17,4.282,0.0266,OOS
ONC,2026-05-13,Approved,other,P,2026,2026-04-13,2026-05-06,305.64,0.025128,-0.017508,0,-0.005611,-0.156088,-0.33359,-0.089815,0.5335,0.0314,0.01854,,0,61161749.0,0.076008,0.020509,1,0.060643,19.12,4.297,0.0302,OOS
ARGX,2026-05-08,Approved,other,P,2026,2026-04-08,2026-05-01,785.07,-0.002,-0.000239,0,0.032563,-0.093341,-0.268427,-0.003642,0.4704,0.02677,0.01391,,0,241046570.0,0.060332,0.01923,1,0.070112,21.04,4.291,0.0268,OOS
ADMA,2026-05-04,Approved,other,P,2026,2026-04-02,2026-04-27,9.19,0.189336,0.157699,1,-0.464469,-0.553818,-0.665497,-0.389369,0.5794,0.13446,0.04125,,0,101843622.0,-0.41465,0.066612,1,0.057656,23.87,4.313,0.036,OOS
PFE,2026-05-01,Approved,other,P,2026,2026-04-01,2026-04-24,28.0864,-0.054291,-0.091086,0,0.033225,0.105048,-0.127862,0.159316,0.2886,0.02319,0.00878,STANDARD,92,1159784708.0,0.047322,0.014438,1,0.056546,24.54,4.319,0.0458,OOS
ARVN,2026-05-01,Approved,other,P,2026,2026-04-01,2026-04-24,11.33,-0.078553,-0.115348,0,-0.192837,-0.090647,0.042634,0.329812,1.1569,0.05806,0.02638,,0,10980440.0,-0.153846,0.041029,1,0.056546,24.54,4.319,0.0458,OOS
INCY,2026-05-01,Approved,other,P,2026,2026-04-01,2026-04-24,94.3,0.003712,-0.033083,0,-0.079333,-0.103154,-0.175281,0.111897,0.524,0.02629,0.01644,,0,155303266.0,-0.057377,0.01626,1,0.056546,24.54,4.319,0.0458,OOS
AXSM,2026-04-30,Approved,other,P,2026,2026-03-31,2026-04-23,169.02,0.081055,0.028131,1,0.006543,0.086542,0.147739,0.437001,0.6638,0.03335,0.01567,STANDARD,2,91820610.0,0.031302,0.023045,1,0.035173,25.25,4.311,0.0474,OOS
JAGX,2026-04-29,Approved,other,P,2026,2026-03-30,2026-04-22,11.655,0.231231,0.075229,1,-0.557559,-0.644887,-1.061788,-0.845116,1.133,0.15444,0.08276,,0,245555.0,-0.625,0.08491,1,-0.049608,30.61,4.342,0.0498,OOS
AZN,2026-04-28,Approved,other,P,2026,2026-03-27,2026-04-21,188.42,0.039062,-0.101418,0,-0.012994,0.082789,0.042927,0.294603,0.2673,0.02128,0.01191,STANDARD,59,362945068.0,-0.09609,0.013308,1,-0.053128,31.05,4.44,0.0735,OOS
AZN,2026-04-27,Approved,other,P,2026,2026-03-27,2026-04-20,188.42,0.06512,-0.087066,0,-0.012994,0.082789,0.042927,0.294603,0.2673,0.02128,0.01191,STANDARD,59,362945068.0,-0.076282,0.014191,1,-0.053128,31.05,4.44,0.0735,OOS
REGN,2026-04-23,Approved,other,P,2026,2026-03-24,2026-04-16,740.5839,0.005811,-0.127366,0,0.000897,-0.004734,0.01554,0.248175,0.5257,0.02762,0.01241,,0,484397639.0,-0.048713,0.017664,1,-0.028312,26.95,4.392,0.0581,OOS
GRCE,2026-04-23,CRL,other,P,2026,2026-03-24,2026-04-16,4.44,0.011261,-0.121916,0,0.162995,0.334194,0.195017,0.427653,0.4779,0.07272,0.01649,,0,1693838.0,0.14433,0.025185,1,-0.028312,26.95,4.392,0.0581,OOS
ABBV,2026-04-23,CRL,other,P,2026,2026-03-24,2026-04-16,203.5116,0.026919,-0.106258,0,-0.047287,-0.059727,-0.296645,-0.064009,0.3851,0.02967,0.01361,,96,1683137745.0,-0.087229,0.016118,1,-0.028312,26.95,4.392,0.0581,OOS
REGN,2026-04-22,Approved,other,P,2026,2026-03-23,2026-04-15,735.4316,0.023624,-0.097575,0,-0.030648,-0.032522,-0.030367,0.247218,0.5349,0.02899,0.01241,,0,489836214.0,-0.055331,0.017965,1,0.017437,26.15,4.334,0.053,OOS
SNY,2026-04-22,Approved,other,P,2026,2026-03-23,2026-04-15,42.4169,0.072593,-0.048606,0,-0.017874,-0.084534,-0.337828,-0.060243,0.285,0.02095,0.01191,,5,203651607.0,-0.042558,0.014108,1,0.017437,26.15,4.334,0.053,OOS
MRK,2026-04-21,Approved,other,P,2026,2026-03-20,2026-04-14,113.3648,0.050622,-0.077464,0,-0.005349,0.161685,0.174013,0.422897,0.3865,0.02355,0.00938,,58,1301000442.0,-0.059171,0.014869,1,-0.001918,26.78,4.391,0.0578,OOS
LGND,2026-04-13,Approved,other,P,2026,2026-03-13,2026-04-06,202.91,0.00345,-0.053761,0,0.113772,0.101092,-0.06302,0.214594,0.5542,0.05836,0.01688,,0,42326678.0,0.117038,0.023134,1,0.0015,27.19,4.285,0.0291,OOS
TVTX,2026-04-13,Approved,other,P,2026,2026-03-13,2026-04-06,27.8,0.144964,0.087753,1,-0.057456,-0.19289,-0.165613,0.112,1.0562,0.04965,0.03077,STANDARD,1,43375393.0,-0.091503,0.035383,1,0.0015,27.19,4.285,0.0291,OOS
REPL,2026-04-10,CRL,other,P,2026,2026-03-11,2026-04-02,7.9,0.064557,0.044142,1,0.013936,-0.289123,0.022013,0.357388,1.4713,0.07128,0.02992,,0,11441224.0,0.016077,0.055423,1,0.025377,24.23,4.208,0.0086,OOS
ANIP,2026-04-08,Approved,other,P,2026,2026-03-09,2026-04-01,74.81,0.015372,0.004123,1,-0.135101,-0.130654,-0.551717,-0.215417,0.1057,0.03579,0.01552,,0,27019232.0,-0.085899,0.019429,1,0.034812,25.5,4.136,0.0068,OOS
INCY,2026-04-08,CRL,other,P,2026,2026-03-09,2026-04-01,97.1,-0.028836,-0.040085,0,-0.108095,-0.068258,-0.215571,0.120729,0.4762,0.02991,0.01554,,0,186713511.0,-0.104161,0.020927,1,0.034812,25.5,4.136,0.0068,OOS
MGNX,2026-04-08,CRL,other,P,2026,2026-03-09,2026-04-01,2.36,0.228814,0.217564,1,0.33522,0.675333,-0.1563,0.18,0.9319,0.05527,0.01678,,0,1218531.0,0.303867,0.038327,1,0.034812,25.5,4.136,0.0068,OOS
OTLK,2026-04-07,CRL,other,P,2026,2026-03-06,2026-03-31,0.414,-0.502415,-0.532496,0,0.045296,-0.811027,-0.865178,-0.533784,0.648,0.09006,0.08952,,0,559073.0,-0.034965,0.061262,1,0.021179,29.49,4.133,0.0187,OOS
REGN,2026-04-02,Approved,other,P,2026,2026-03-03,2026-03-26,765.5166,-0.012952,-0.016191,0,0.045265,-0.022238,-0.05597,0.32348,0.5052,0.03006,0.01099,,0,585397297.0,0.035245,0.017984,1,0.006078,23.57,4.056,0.0097,OOS
LLY,2026-04-01,Approved,other,P,2026,2026-03-02,2026-03-25,1016.2206,-0.099865,-0.079083,0,-0.002866,-0.110197,-0.011517,0.395112,0.5172,0.03143,0.01631,,68,3926908680.0,-0.016855,0.035998,1,0.033526,21.44,4.048,0.0125,OOS
IONS,2026-03-30,Approved,other,P,2026,2026-02-27,2026-03-23,81.15,-0.127665,-0.083149,0,-0.020754,-0.050189,0.482502,0.898246,0.7871,0.03231,0.01271,,0,180303528.0,-0.032546,0.019141,1,0.052907,19.86,3.962,-0.01,OOS
BIIB,2026-03-30,Approved,other,P,2026,2026-02-27,2026-03-23,191.82,-0.042644,0.001872,1,0.085826,0.00128,-0.009026,0.406718,0.4771,0.02902,0.01335,STANDARD,6,277146873.0,0.088773,0.026823,1,0.052907,19.86,3.962,-0.01,OOS
TEVA,2026-03-30,Approved,other,P,2026,2026-02-27,2026-03-23,33.86,-0.150325,-0.105809,0,0.008218,0.302035,0.460157,0.8759,0.4153,0.02553,0.00716,,84,305255765.0,0.023889,0.015911,1,0.052907,19.86,3.962,-0.01,OOS
RCKT,2026-03-27,Approved,other,P,2026,2026-02-25,2026-03-20,4.33,-0.04388,0.01825,1,0.189553,0.374478,-0.226783,0.223164,1.6131,0.05252,0.02412,,0,7302377.0,0.192837,0.038032,1,0.103338,17.93,4.048,-0.0037,OOS
NVO,2026-03-26,Approved,other,P,2026,2026-02-24,2026-03-19,37.2248,-0.039129,0.013751,1,-0.388927,-0.327714,-0.748437,-0.322745,0.576,0.06666,0.0337,STANDARD,10,1293961086.0,-0.38018,0.055926,1,0.138428,19.55,4.033,-0.0178,OOS
DNLI,2026-03-25,Approved,other,P,2026,2026-02-23,2026-03-18,20.86,-0.038351,0.007802,1,0.031618,0.120284,-0.047439,0.369665,1.5302,0.06523,0.02388,,0,36066823.0,0.030123,0.033132,1,0.112577,21.01,4.029,-0.0252,OOS
CORT,2026-03-25,Approved,other,P,2026,2026-02-23,2026-03-18,35.34,-0.057725,-0.011572,0,-0.109347,-0.648188,-0.919218,-0.502113,1.1442,0.06959,0.07373,,0,81312363.0,-0.196453,0.047173,1,0.112577,21.01,4.029,-0.0252,OOS
RYTM,2026-03-20,Approved,other,P,2026,2026-02-18,2026-03-13,101.3,-0.137414,-0.107398,0,-0.014682,-0.08629,-0.364583,0.032725,0.8624,0.05411,0.02105,PRIORITY,1,65817177.0,-0.003247,0.0279,1,0.105302,19.62,4.079,-0.0166,OOS
BMY,2026-03-20,Approved,other,P,2026,2026-02-18,2026-03-13,58.4605,-0.010882,0.019134,1,0.069455,0.190215,-0.125954,0.271353,0.3982,0.02607,0.00769,STANDARD,21,770505716.0,0.08089,0.016732,1,0.105302,19.62,4.079,-0.0166,OOS
GSK,2026-03-19,Approved,other,P,2026,2026-02-17,2026-03-12,59.8376,-0.101084,-0.084956,0,0.236958,0.158139,0.180677,0.560007,0.169,0.02395,0.00828,,0,375117820.0,0.262339,0.019847,1,0.117347,20.29,4.052,-0.0146,OOS
NVO,2026-03-19,Approved,other,P,2026,2026-02-17,2026-03-12,47.6234,-0.229897,-0.213769,0,-0.137931,-0.113075,-0.426719,-0.047389,0.6524,0.0578,0.02699,STANDARD,10,1334449706.0,-0.207926,0.04894,1,0.117347,20.29,4.052,-0.0146,OOS
JNJ,2026-03-18,Approved,other,P,2026,2026-02-13,2026-03-11,240.7779,0.003417,-0.025234,0,0.145158,0.180089,0.03592,0.412511,0.1006,0.01603,0.00501,,0,2236392282.0,0.113372,0.007048,1,0.080242,20.6,4.056,-0.0022,OOS
PTGX,2026-03-18,Approved,other,P,2026,2026-02-13,2026-03-11,81.49,0.183949,0.155299,1,-0.012656,-0.119842,0.105314,0.481906,0.6095,0.04382,0.01507,,0,58835038.0,-0.006098,0.020944,1,0.080242,20.6,4.056,-0.0022,OOS
ALDX,2026-03-17,CRL,other,P,2026,2026-02-13,2026-03-10,5.28,-0.051136,-0.088333,0,0.276508,-0.084016,-0.380365,-0.003774,1.0661,0.06709,0.03219,,0,4316854.0,0.140389,0.032097,1,0.080242,20.6,4.056,-0.0022,OOS
GSK,2026-03-13,Approved,other,P,2026,2026-02-11,2026-03-06,57.498,-0.060543,-0.055328,0,0.154936,0.109799,0.121522,0.56075,0.1692,0.02462,0.00842,,0,364679545.0,0.160746,0.022121,1,0.136001,17.65,4.172,0.0151,OOS
NVS,2026-03-13,Approved,other,P,2026,2026-02-11,2026-03-06,155.3322,0.000375,0.00559,1,0.122804,0.122332,-0.097681,0.341547,0.2253,0.01842,0.00733,STANDARD,88,358187534.0,0.128614,0.0136,1,0.136001,17.65,4.172,0.0151,OOS
LNTH,2026-03-06,Approved,other,P,2026,2026-02-04,2026-02-27,65.93,0.136205,0.119604,1,-0.086996,0.016107,-0.540032,-0.092248,0.6444,0.03051,0.01107,,1,51958230.0,-0.044216,0.012007,1,0.144224,18.64,4.275,0.0412,OOS
BMY,2026-03-06,Approved,other,P,2026,2026-02-04,2026-02-27,56.3953,0.082437,0.065835,1,0.043161,0.122636,-0.158749,0.289035,0.4446,0.02162,0.00935,STANDARD,21,719425467.0,0.08594,0.016506,1,0.144224,18.64,4.275,0.0412,OOS
HALO,2026-03-05,Approved,other,P,2026,2026-02-03,2026-02-26,76.48,-0.094927,-0.095083,0,0.03731,0.036887,-0.200685,0.274879,0.3181,0.0324,0.01277,,0,138496791.0,0.087754,0.020891,1,0.136299,18.0,4.274,0.0422,OOS
JNJ,2026-03-05,Approved,other,P,2026,2026-02-03,2026-02-26,230.5415,0.05004,0.049883,1,0.073742,0.105719,-0.094005,0.381559,0.1352,0.01756,0.00493,,0,2112579880.0,0.124186,0.01041,1,0.136299,18.0,4.274,0.0422,OOS
OTLK,2026-03-05,CRL,other,P,2026,2026-02-03,2026-02-26,0.43,0.006977,0.00682,1,-0.398929,-0.79503,-1.261634,-0.78607,0.6016,0.08505,0.08776,,0,2114024.0,-0.348485,0.053721,1,0.136299,18.0,4.274,0.0422,OOS
NVO,2026-03-03,Approved,other,P,2026,2026-01-30,2026-02-24,57.3275,-0.350665,-0.386015,0,0.134975,0.028902,-0.184755,0.276815,0.4196,0.03988,0.01582,STANDARD,10,1329441203.0,0.134377,0.031916,1,0.127998,17.44,4.241,0.0451,OOS
