ticker,marketCap,tier,shares,float,avgvol3m,name
CMND,3015668,<500M,1485551,1485551,2396313,Clearmind Medicine Inc.
CMPX,419604832,<500M,180087915,180087915,8150422,"Compass Therapeutics, Inc."
CNTA,,n/a,,,,
COCP,13925327,<500M,13787453,13787453,130262,"Cocrystal Pharma, Inc."
CORT,9863463936,2-10B,107351594,107351594,1091824,Corcept Therapeutics Incorporated
CRNX,8846127104,2-10B,105840233,105840233,3137718,"Crinetics Pharmaceuticals, Inc."
CRSP,5254128128,2-10B,98484128,98484128,1771709,CRISPR Therapeutics AG
CSLLY,41397149696,>10B,1915647916,1915647916,515681,CSL Limited
CUE,154488608,<500M,4200343,4200343,585390,"Cue Biopharma, Inc."
CYTK,11522850816,>10B,135770593,135770593,2620509,"Cytokinetics, Incorporated"
DNLI,4075666176,2-10B,158709737,158709737,1812357,Denali Therapeutics Inc.
DSNKY,31097874432,>10B,1819653230,1819653230,319493,"Daiichi Sankyo Company, Limited"
EBS,415350208,<500M,51596296,51596296,817718,Emergent BioSolutions Inc.
ENGN,127279984,<500M,66989466,66989466,1884783,enGene Therapeutics Inc.
ENTA,398373792,<500M,29078380,29078380,211665,"Enanta Pharmaceuticals, Inc."
EQ,183989280,<500M,63226556,63226556,802481,"Equillium, Inc."
ESLA,39888428,<500M,43034228,43034228,39957,"Estrella Immunopharma, Inc."
ETON,1002834240,500M-2B,27392358,27392358,407363,"Eton Pharmaceuticals, Inc."
EXEL,14201562112,>10B,251355083,251355083,2742459,"Exelixis, Inc."
