ticker,pdufa_date,review_priority,prior_fda_approvals
MRKR,2025-08-26,,0
VALN,2025-08-25,,0
IONI,2025-08-21,,0
IONS,2025-08-21,,0
PTCT,2025-08-19,,0
PGEN,2025-08-15,,0
NVO,2025-08-15,PRIORITY,9
TNXP,2025-08-15,STANDARD,0
IBRX,2025-08-13,,0
INSM,2025-08-12,,1
PHRRF,2025-08-11,,0
AMPH,2025-08-11,,0
TEVA,2025-08-06,,84
JAZZ,2025-08-06,,4
LENZ,2025-07-31,,0
REGN,2025-07-30,,0
ZLAB,2025-07-30,,0
ANIK,2025-07-30,,0
ASND,2025-07-28,,0
PTCT,2025-07-28,,0
APLS,2025-07-28,,
PHIO,2025-07-28,,0
REPL,2025-07-22,,0
RHHBY,2025-07-18,STANDARD,19
GSK,2025-07-17,,0
CUE,2025-07-16,,0
CAPR,2025-07-11,,0
ABEO,2025-07-11,,0
RARE,2025-07-11,,0
JSPR,2025-07-07,,0
KALV,2025-07-07,,
CMND,2025-07-03,,0
REGN,2025-07-02,,0
EXEL,2025-07-02,,1
UNCY,2025-06-30,,0
ABBV,2025-06-30,PRIORITY,96
TAK,2025-06-30,,1
INTS,2025-06-30,,0
BMY,2025-06-27,,21
GSK,2025-06-24,,0
AVBP,2025-06-23,,0
AZN,2025-06-23,,58
DSNKY,2025-06-23,,1
GHRS,2025-06-20,,0
GLPG,2025-06-19,,
GILD,2025-06-18,,6
NVS,2025-06-18,STANDARD,87
XNCR,2025-06-18,,0
INCY,2025-06-18,,0
CSLLY,2025-06-17,,0
LYEL,2025-06-17,,0
HOTH,2025-06-16,,
LTRN,2025-06-16,,0
JSPR,2025-06-16,,0
INCY,2025-06-15,,0
GMAB,2025-06-15,,0
JNJ,2025-06-13,,0
MRK,2025-06-13,,58
AMRX,2025-06-12,STANDARD,91
MRNA,2025-06-12,,0
URGN,2025-06-12,,0
BMY,2025-06-12,,21
NRIX,2025-06-12,,0
ADCT,2025-06-12,,0
NUVB,2025-06-11,PRIORITY,0
ABBV,2025-06-11,PRIORITY,96
ENTA,2025-06-11,,0
MRK,2025-06-09,,58
AXSM,2025-06-09,,2
TRAW,2025-06-03,,0
IMMX,2025-06-03,,0
REGN,2025-06-02,,0
SNY,2025-06-02,STANDARD,5
GMAB,2025-06-02,,0
MRNA,2025-05-31,,0
ETON,2025-05-29,STANDARD,6
ALC,2025-05-28,,23
SVRA,2025-05-27,,0
BMY,2025-05-23,STANDARD,21
REGN,2025-05-23,,0
BCTX,2025-05-23,,0
LQDA,2025-05-23,,0
RHHBY,2025-05-22,STANDARD,19
ARQT,2025-05-22,STANDARD,2
GSK,2025-05-22,,0
NVAX,2025-05-19,,0
AMRX,2025-05-15,STANDARD,89
INCY,2025-05-15,,0
MRK,2025-05-14,,58
ABBV,2025-05-14,STANDARD,96
CING,2025-05-14,,0
OGEN,2025-05-13,,0
VSTM,2025-05-08,,0
PHIO,2025-05-07,,0
TEVA,2025-05-05,,84
ALVO,2025-05-05,,0
JNJ,2025-04-30,,0
XRTX,2025-04-30,,0
ABEO,2025-04-29,,0
ABBV,2025-04-29,STANDARD,96
TLX,2025-04-28,,1
CLDI,2025-04-28,,0
URGN,2025-04-27,,0
TARA,2025-04-26,,0
ALXO,2025-04-25,,0
JNJ,2025-04-24,,0
EQ,2025-04-24,,0
ANTE,2025-04-23,,
REGN,2025-04-20,,0
REGN,2025-04-18,,0
SNY,2025-04-18,,5
MIRM,2025-04-14,STANDARD,4
IRWD,2025-04-14,,0
BMY,2025-04-11,PRIORITY,20
HALO,2025-04-10,,0
ARGX,2025-04-10,,0
BMY,2025-04-08,PRIORITY,20
ALDX,2025-04-03,,0
AMGN,2025-04-03,STANDARD,9
NVS,2025-04-03,STANDARD,87
ABBV,2025-04-02,STANDARD,96
CMPX,2025-04-01,,0
AZN,2025-03-31,,58
MIST,2025-03-28,,0
ALNY,2025-03-28,,0
INTE,2025-03-28,,0
SNY,2025-03-28,,5
NVS,2025-03-28,STANDARD,87
EQ,2025-03-27,,0
SLNO,2025-03-26,,
WVE,2025-03-26,,0
IPSEY,2025-03-26,STANDARD,4
EXEL,2025-03-26,,1
GSK,2025-03-25,,0
CGON,2025-03-24,,0
AURA,2025-03-24,,0
CNTA,2025-03-24,,
TLX,2025-03-21,,1
NVS,2025-03-20,STANDARD,87
ALNY,2025-03-20,,0
JNJ,2025-03-20,,0
XERS,2025-03-17,STANDARD,2
GLSI,2025-03-17,,0
ANIP,2025-03-14,,0
RNAZ,2025-03-13,,0
PHIO,2025-03-10,,0
SPRY,2025-03-05,,0
RHHBY,2025-03-03,,19
INDV,2025-02-24,PRIORITY,7
MIRM,2025-02-24,PRIORITY,3
SLS,2025-02-20,,0
APTO,2025-02-20,,
IBRX,2025-02-19,,0
HRMY,2025-02-19,,2
GSK,2025-02-17,,0
ALLO,2025-02-14,,0
CLLS,2025-02-14,,0
TURN,2025-02-14,,
ALPMY,2025-02-13,STANDARD,39
PFE,2025-02-12,STANDARD,92
RHHBY,2025-02-12,STANDARD,19
SWTX,2025-02-11,,
ABBV,2025-02-07,PRIORITY,95
RNAZ,2025-02-06,,0
SUPN,2025-02-04,,0
RHHBY,2025-02-04,STANDARD,19
VRTX,2025-01-30,,0
AXSM,2025-01-30,STANDARD,1
NVS,2025-01-29,STANDARD,87
NVO,2025-01-28,STANDARD,9
DSNKY,2025-01-27,,1
AZN,2025-01-27,PRIORITY,58
BIIB,2025-01-26,,6
AMRX,2025-01-23,STANDARD,86
LSTA,2025-01-22,,0
CHRS,2025-01-22,,0
IRON,2025-01-21,,0
JNJ,2025-01-21,,0
INBX,2025-01-21,,0
AZN,2025-01-17,PRIORITY,58
AMGN,2025-01-17,PRIORITY,9
ATRA,2025-01-16,,0
INCY,2025-01-16,,0
SNDX,2025-01-16,,1
LEXX,2025-01-15,,0
LLY,2025-01-15,STANDARD,68
PHIO,2025-01-13,,0
JSPR,2025-01-08,,0
KZIA,2025-01-02,,0
