ticker,pdufa_date,outcome,confidence,cohort,year,entry_date,exit_date,entry_px,ret,excess,beat_xbi,mae,adv_usd,premom_60_30,prevol_60_30,xbi_above_200d,xbi_ret_63d,vix,tnx,tnx_chg_63d,split
ARGX,2026-05-08,Approved,other,P,2026,2026-04-08,2026-05-01,785.07,-0.002,-0.000239,0,-0.0385,241046570.0,0.060332,0.01923,1,0.070112,21.04,4.291,0.0268,OOS
ADMA,2026-05-04,Approved,other,P,2026,2026-04-02,2026-04-27,9.19,0.189336,0.157699,1,-0.042437,101843622.0,-0.41465,0.066612,1,0.057656,23.87,4.313,0.036,OOS
PFE,2026-05-01,Approved,other,P,2026,2026-04-01,2026-04-24,28.0864,-0.054291,-0.091086,0,-0.060755,1159784708.0,0.047322,0.014438,1,0.056546,24.54,4.319,0.0458,OOS
ARVN,2026-05-01,Approved,other,P,2026,2026-04-01,2026-04-24,11.33,-0.078553,-0.115348,0,-0.104148,10980440.0,-0.153846,0.041029,1,0.056546,24.54,4.319,0.0458,OOS
INCY,2026-05-01,Approved,other,P,2026,2026-04-01,2026-04-24,94.3,0.003712,-0.033083,0,-0.018558,155303266.0,-0.057377,0.01626,1,0.056546,24.54,4.319,0.0458,OOS
AXSM,2026-04-30,Approved,other,P,2026,2026-03-31,2026-04-23,169.02,0.081055,0.028131,1,-0.05384,91820610.0,0.031302,0.023045,1,0.035173,25.25,4.311,0.0474,OOS
JAGX,2026-04-29,Approved,other,P,2026,2026-03-30,2026-04-22,11.655,0.231231,0.075229,1,-0.06006,245555.0,-0.625,0.08491,1,-0.049608,30.61,4.342,0.0498,OOS
AZN,2026-04-28,Approved,other,P,2026,2026-03-27,2026-04-21,188.42,0.039062,-0.101418,0,-0.002494,362945068.0,-0.09609,0.013308,1,-0.053128,31.05,4.44,0.0735,OOS
AZN,2026-04-27,Approved,other,P,2026,2026-03-27,2026-04-20,188.42,0.06512,-0.087066,0,-0.002494,362945068.0,-0.076282,0.014191,1,-0.053128,31.05,4.44,0.0735,OOS
REGN,2026-04-23,Approved,other,P,2026,2026-03-24,2026-04-16,740.5839,0.005811,-0.127366,0,-0.017046,484397639.0,-0.048713,0.017664,1,-0.028312,26.95,4.392,0.0581,OOS
GRCE,2026-04-23,CRL,other,P,2026,2026-03-24,2026-04-16,4.44,0.011261,-0.121916,0,-0.436937,1693838.0,0.14433,0.025185,1,-0.028312,26.95,4.392,0.0581,OOS
ABBV,2026-04-23,CRL,other,P,2026,2026-03-24,2026-04-16,203.5116,0.026919,-0.106258,0,-0.009098,1683137745.0,-0.087229,0.016118,1,-0.028312,26.95,4.392,0.0581,OOS
REGN,2026-04-22,Approved,other,P,2026,2026-03-23,2026-04-15,735.4316,0.023624,-0.097575,0,-0.010159,489836214.0,-0.055331,0.017965,1,0.017437,26.15,4.334,0.053,OOS
SNY,2026-04-22,Approved,other,P,2026,2026-03-23,2026-04-15,42.4169,0.072593,-0.048606,0,0.048876,203651607.0,-0.042558,0.014108,1,0.017437,26.15,4.334,0.053,OOS
MRK,2026-04-21,Approved,other,P,2026,2026-03-20,2026-04-14,113.3648,0.050622,-0.077464,0,-0.005688,1301000442.0,-0.059171,0.014869,1,-0.001918,26.78,4.391,0.0578,OOS
LGND,2026-04-13,Approved,other,P,2026,2026-03-13,2026-04-06,202.91,0.00345,-0.053761,0,-0.070179,42326678.0,0.117038,0.023134,1,0.0015,27.19,4.285,0.0291,OOS
TVTX,2026-04-13,Approved,other,P,2026,2026-03-13,2026-04-06,27.8,0.144964,0.087753,1,-0.059353,43375393.0,-0.091503,0.035383,1,0.0015,27.19,4.285,0.0291,OOS
REPL,2026-04-10,CRL,other,P,2026,2026-03-11,2026-04-02,7.9,0.064557,0.044142,1,-0.177215,11441224.0,0.016077,0.055423,1,0.025377,24.23,4.208,0.0086,OOS
ANIP,2026-04-08,Approved,other,P,2026,2026-03-09,2026-04-01,74.81,0.015372,0.004123,1,-0.062291,27019232.0,-0.085899,0.019429,1,0.034812,25.5,4.136,0.0068,OOS
INCY,2026-04-08,CRL,other,P,2026,2026-03-09,2026-04-01,97.1,-0.028836,-0.040085,0,-0.080844,186713511.0,-0.104161,0.020927,1,0.034812,25.5,4.136,0.0068,OOS
MGNX,2026-04-08,CRL,other,P,2026,2026-03-09,2026-04-01,2.36,0.228814,0.217564,1,-0.04661,1218531.0,0.303867,0.038327,1,0.034812,25.5,4.136,0.0068,OOS
OTLK,2026-04-07,CRL,other,P,2026,2026-03-06,2026-03-31,0.414,-0.502415,-0.532496,0,-0.611111,559073.0,-0.034965,0.061262,1,0.021179,29.49,4.133,0.0187,OOS
REGN,2026-04-02,Approved,other,P,2026,2026-03-03,2026-03-26,765.5166,-0.012952,-0.016191,0,-0.049165,585397297.0,0.035245,0.017984,1,0.006078,23.57,4.056,0.0097,OOS
LLY,2026-04-01,Approved,other,P,2026,2026-03-02,2026-03-25,1016.2206,-0.099865,-0.079083,0,-0.118686,3926908680.0,-0.016855,0.035998,1,0.033526,21.44,4.048,0.0125,OOS
IONS,2026-03-30,Approved,other,P,2026,2026-02-27,2026-03-23,81.15,-0.127665,-0.083149,0,-0.132224,180303528.0,-0.032546,0.019141,1,0.052907,19.86,3.962,-0.01,OOS
BIIB,2026-03-30,Approved,other,P,2026,2026-02-27,2026-03-23,191.82,-0.042644,0.001872,1,-0.05917,277146873.0,0.088773,0.026823,1,0.052907,19.86,3.962,-0.01,OOS
TEVA,2026-03-30,Approved,other,P,2026,2026-02-27,2026-03-23,33.86,-0.150325,-0.105809,0,-0.161843,305255765.0,0.023889,0.015911,1,0.052907,19.86,3.962,-0.01,OOS
RCKT,2026-03-27,Approved,other,P,2026,2026-02-25,2026-03-20,4.33,-0.04388,0.01825,1,-0.047344,7302377.0,0.192837,0.038032,1,0.103338,17.93,4.048,-0.0037,OOS
NVO,2026-03-26,Approved,other,P,2026,2026-02-24,2026-03-19,37.2248,-0.039129,0.013751,1,-0.036932,1293961086.0,-0.38018,0.055926,1,0.138428,19.55,4.033,-0.0178,OOS
DNLI,2026-03-25,Approved,other,P,2026,2026-02-23,2026-03-18,20.86,-0.038351,0.007802,1,-0.087009,36066823.0,0.030123,0.033132,1,0.112577,21.01,4.029,-0.0252,OOS
CORT,2026-03-25,Approved,other,P,2026,2026-02-23,2026-03-18,35.34,-0.057725,-0.011572,0,-0.099887,81312363.0,-0.196453,0.047173,1,0.112577,21.01,4.029,-0.0252,OOS
RYTM,2026-03-20,Approved,other,P,2026,2026-02-18,2026-03-13,101.3,-0.137414,-0.107398,0,-0.190523,65817177.0,-0.003247,0.0279,1,0.105302,19.62,4.079,-0.0166,OOS
BMY,2026-03-20,Approved,other,P,2026,2026-02-18,2026-03-13,58.4605,-0.010882,0.019134,1,-0.002403,770505716.0,0.08089,0.016732,1,0.105302,19.62,4.079,-0.0166,OOS
GSK,2026-03-19,Approved,other,P,2026,2026-02-17,2026-03-12,59.8376,-0.101084,-0.084956,0,-0.101401,375117820.0,0.262339,0.019847,1,0.117347,20.29,4.052,-0.0146,OOS
NVO,2026-03-19,Approved,other,P,2026,2026-02-17,2026-03-12,47.6234,-0.229897,-0.213769,0,-0.247219,1334449706.0,-0.207926,0.04894,1,0.117347,20.29,4.052,-0.0146,OOS
JNJ,2026-03-18,Approved,other,P,2026,2026-02-13,2026-03-11,240.7779,0.003417,-0.025234,0,-0.022211,2236392282.0,0.113372,0.007048,1,0.080242,20.6,4.056,-0.0022,OOS
PTGX,2026-03-18,Approved,other,P,2026,2026-02-13,2026-03-11,81.49,0.183949,0.155299,1,-0.055099,58835038.0,-0.006098,0.020944,1,0.080242,20.6,4.056,-0.0022,OOS
ALDX,2026-03-17,CRL,other,P,2026,2026-02-13,2026-03-10,5.28,-0.051136,-0.088333,0,-0.173296,4316854.0,0.140389,0.032097,1,0.080242,20.6,4.056,-0.0022,OOS
GSK,2026-03-13,Approved,other,P,2026,2026-02-11,2026-03-06,57.498,-0.060543,-0.055328,0,-0.059619,364679545.0,0.160746,0.022121,1,0.136001,17.65,4.172,0.0151,OOS
NVS,2026-03-13,Approved,other,P,2026,2026-02-11,2026-03-06,155.3322,0.000375,0.00559,1,0.005458,358187534.0,0.128614,0.0136,1,0.136001,17.65,4.172,0.0151,OOS
LNTH,2026-03-06,Approved,other,P,2026,2026-02-04,2026-02-27,65.93,0.136205,0.119604,1,-0.037616,51958230.0,-0.044216,0.012007,1,0.144224,18.64,4.275,0.0412,OOS
BMY,2026-03-06,Approved,other,P,2026,2026-02-04,2026-02-27,56.3953,0.082437,0.065835,1,0.000615,719425467.0,0.08594,0.016506,1,0.144224,18.64,4.275,0.0412,OOS
HALO,2026-03-05,Approved,other,P,2026,2026-02-03,2026-02-26,76.48,-0.094927,-0.095083,0,-0.10591,138496791.0,0.087754,0.020891,1,0.136299,18.0,4.274,0.0422,OOS
JNJ,2026-03-05,Approved,other,P,2026,2026-02-03,2026-02-26,230.5415,0.05004,0.049883,1,-0.000267,2112579880.0,0.124186,0.01041,1,0.136299,18.0,4.274,0.0422,OOS
OTLK,2026-03-05,CRL,other,P,2026,2026-02-03,2026-02-26,0.43,0.006977,0.00682,1,-0.116279,2114024.0,-0.348485,0.053721,1,0.136299,18.0,4.274,0.0422,OOS
NVO,2026-03-03,Approved,other,P,2026,2026-01-30,2026-02-24,57.3275,-0.350665,-0.386015,0,-0.330862,1329441203.0,0.134377,0.031916,1,0.127998,17.44,4.241,0.0451,OOS
ASND,2026-02-27,Approved,other,P,2026,2026-01-28,2026-02-20,222.45,0.011463,0.020674,1,-0.051472,145980878.0,0.054165,0.029433,1,0.13233,16.35,4.251,0.0635,OOS
BMRN,2026-02-27,Approved,other,P,2026,2026-01-28,2026-02-20,56.68,0.130558,0.139768,1,-0.0247,116965236.0,-0.055963,0.017938,1,0.13233,16.35,4.251,0.0635,OOS
AMPH,2026-02-24,Approved,other,P,2026,2026-01-23,2026-02-17,25.92,0.097608,0.12424,1,-0.011188,8526973.0,-0.044248,0.025365,1,0.197014,16.09,4.239,0.0724,OOS
PFE,2026-02-24,Approved,other,P,2026,2026-01-23,2026-02-17,25.2335,0.067057,0.093689,1,0.001051,1099673844.0,0.039445,0.008106,1,0.197014,16.09,4.239,0.0724,OOS
