This file was created using the 202605 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on INV.

The portfolios are constructed at the end of June.  INV, investment, is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1
divided by t-2 total assets.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weight Returns -- Monthly
,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
196811,    3.46,    6.26,    6.90,    2.49,    6.10,    5.77,    7.62,    6.28,    4.38,    1.55,    5.89,    6.18,    5.61,    6.04,    7.47,    7.71,    4.56,    9.05
196812,   -1.94,   -3.88,   -4.47,   -1.64,   -3.95,   -3.92,   -4.33,   -3.83,    0.73,   -2.88,   -2.64,   -4.49,   -4.12,   -3.61,   -2.84,   -5.30,   -4.24,   -3.19
196901,   -1.02,    0.28,   -2.38,   -1.29,    0.43,    0.56,   -1.70,   -2.58,   -0.78,   -1.56,   -0.39,    0.78,    1.00,   -0.16,   -1.06,   -2.13,   -2.47,   -2.73
196902,   -5.13,   -4.82,   -5.30,   -4.69,   -5.05,   -4.71,   -4.44,   -6.47,   -6.68,   -3.62,   -6.20,   -4.58,   -4.23,   -5.49,   -5.43,   -3.77,   -4.98,   -8.75
196903,    3.16,    3.61,    3.17,    2.80,    2.32,    3.81,    5.04,    2.32,    2.44,    2.98,    4.03,    1.62,    4.04,    3.44,    6.22,    4.26,    2.66,    1.78
196904,    0.78,    2.67,    2.27,    0.57,    4.00,    1.61,    2.14,    1.92,    2.19,   -0.29,    1.26,    5.16,    1.27,    2.18,    1.30,    2.71,    1.99,    1.81
196905,    0.07,    1.33,   -1.01,   -0.22,    0.90,    1.11,    0.14,   -0.75,   -1.49,    0.47,    0.73,    0.96,    1.77,    0.06,    2.36,   -1.34,    0.08,   -2.08
196906,   -8.08,   -6.63,   -4.46,   -8.15,   -5.99,   -6.73,   -3.78,   -7.68,  -11.46,   -6.38,   -7.92,   -5.21,   -7.13,   -6.06,   -8.58,   -0.46,   -7.16,   -8.56
196907,   -5.93,   -6.21,   -6.94,   -6.28,   -5.66,   -6.80,   -5.38,   -8.61,   -6.04,   -6.44,   -5.70,   -5.60,   -7.76,   -5.96,   -5.39,   -5.36,   -7.25,  -10.48
196908,    3.09,    5.15,    7.13,    4.04,    2.77,    5.55,    5.96,    8.59,    2.16,    5.31,    2.46,    3.19,    5.74,    5.38,    6.15,    5.80,    8.19,    9.15
