This file was created using the 202605 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on AC/B.

The portfolios are constructed at the end of June. Ac/B (accruals) is the change in 
operating working capital per split-adjusted share from t-2 to t-1
divided by book equity per split-adjusted share in t-1.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
197108,     404,     309,     292,     313,     428,     215,     189,     156,     153,     148,     144,     159,     154,     189,     239
197109,     404,     309,     292,     313,     428,     215,     189,     156,     153,     148,     144,     159,     154,     189,     239
197110,     404,     309,     292,     313,     428,     215,     189,     156,     153,     148,     144,     159,     154,     189,     239
197111,     404,     309,     292,     313,     428,     215,     189,     156,     153,     148,     144,     159,     154,     189,     239
197112,     404,     309,     292,     313,     428,     215,     189,     156,     153,     148,     144,     159,     154,     189,     239
197201,     404,     309,     292,     313,     428,     215,     189,     156,     153,     148,     144,     159,     154,     189,     239
197202,     403,     309,     292,     313,     427,     214,     189,     156,     153,     148,     144,     159,     154,     189,     238
197203,     403,     308,     292,     313,     427,     214,     189,     155,     153,     148,     144,     159,     154,     189,     238
197204,     403,     308,     292,     313,     427,     214,     189,     155,     153,     148,     144,     159,     154,     189,     238
197205,     403,     308,     292,     313,     427,     214,     189,     155,     153,     148,     144,     159,     154,     189,     238
197206,     403,     308,     292,     313,     427,     214,     189,     155,     153,     148,     144,     159,     154,     189,     238
197207,     462,     322,     321,     324,     487,     271,     191,     157,     165,     160,     161,     160,     164,     202,     285
197208,     460,     322,     321,     324,     486,     269,     191,     157,     165,     160,     161,     160,     164,     201,     285
197209,     459,     322,     319,     324,     484,     268,     191,     157,     165,     160,     159,     160,     164,     200,     284
197210,     459,     322,     319,     324,     484,     268,     191,     157,     165,     160,     159,     160,     164,     200,     284
197211,     459,     322,     318,     324,     484,     268,     191,     157,     165,     159,     159,     160,     164,     200,     284
197212,     458,     322,     318,     324,     482,     267,     191,     157,     165,     159,     159,     160,     164,     200,     282
197301,     458,     322,     318,     324,     481,     267,     191,     157,     165,     159,     159,     160,     164,     200,     281
197302,     456,     322,     318,     324,     479,     266,     190,     157,     165,     159,     159,     160,     164,     200,     279
197303,     455,     321,     317,     324,     478,     266,     189,     156,     165,     159,     158,     160,     164,     200,     278
197304,     454,     321,     317,     323,     477,     265,     189,     156,     165,     159,     158,     160,     163,     199,     278
197305,     454,     321,     317,     323,     476,     265,     189,     156,     165,     159,     158,     160,     163,     198,     278
197306,     454,     320,     315,     322,     471,     265,     189,     155,     165,     158,     157,     160,     162,     197,     274
197307,     646,     497,     450,     534,     783,     377,     269,     244,     253,     206,     244,     257,     277,     326,     457
197308,     645,     496,     450,     534,     782,     377,     268,     243,     253,     206,     244,     257,     277,     326,     456
197309,     641,     495,     450,     534,     780,     373,     268,     243,     252,     206,     244,     257,     277,     326,     454
197310,     639,     495,     450,     533,     777,     372,     267,     243,     252,     206,     244,     257,     276,     324,     453
197311,     638,     493,     450,     533,     777,     372,     266,     242,     251,     206,     244,     257,     276,     324,     453
197312,     633,     493,     446,     532,     776,     367,     266,     242,     251,     205,     241,     257,     275,     323,     453
197401,     632,     493,     445,     532,     772,     366,     266,     242,     251,     205,     240,     257,     275,     322,     450
197402,     630,     492,     444,     529,     767,     366,     264,     242,     250,     205,     239,     256,     273,     322,     445
197403,     628,     491,     441,     528,     767,     366,     262,     242,     249,     205,     236,     255,     273,     322,     445
197404,     624,     491,     441,     527,     764,     363,     261,     242,     249,     205,     236,     255,     272,     322,     442
197405,     620,     490,     441,     526,     763,     360,     260,     242,     248,     205,     236,     254,     272,     321,     442
197406,     616,     488,     440,     525,     761,     356,     260,     241,     247,     205,     235,     254,     271,     320,     441
197407,     593,     507,     526,     521,     850,     326,     267,     253,     254,     275,     251,     253,     268,     357,     493
197408,     591,     506,     524,     520,     849,     324,     267,     252,     254,     273,     251,     252,     268,     356,     493
197409,     589,     506,     522,     517,     845,     324,     265,     252,     254,     272,     250,     251,     266,     355,     490
197410,     585,     505,     521,     515,     844,     321,     264,     252,     253,     272,     249,     250,     265,     355,     489
197411,     582,     503,     520,     515,     840,     319,     263,     251,     252,     272,     248,     250,     265,     353,     487
197412,     578,     503,     519,     515,     839,     317,     261,     251,     252,     272,     247,     250,     265,     353,     486
197501,     575,     502,     519,     512,     839,     314,     261,     251,     251,     272,     247,     250,     262,     353,     486
197502,     574,     501,     519,     510,     837,     313,     261,     250,     251,     272,     247,     249,     261,     353,     484
197503,     574,     497,     519,     510,     836,     313,     261,     247,     250,     272,     247,     249,     261,     352,     484
197504,     574,     496,     519,     510,     834,     313,     261,     246,     250,     272,     247,     249,     261,     352,     482
197505,     574,     496,     518,     508,     833,     313,     261,     246,     250,     272,     246,     248,     260,     352,     481
197506,     573,     496,     517,     507,     833,     313,     260,     246,     250,     271,     246,     247,     260,     352,     481
197507,     685,     530,     539,     612,     804,     388,     297,     265,     265,     278,     261,     293,     319,     350,     454
197508,     683,     528,     539,     611,     803,     387,     296,     265,     263,     278,     261,     292,     319,     350,     453
197509,     683,     526,     538,     609,     803,     387,     296,     264,     262,     278,     260,     291,     318,     350,     453
197510,     682,     525,     538,     609,     801,     386,     296,     263,     262,     278,     260,     291,     318,     349,     452
197511,     679,     524,     538,     609,     800,     386,     293,     262,     262,     278,     260,     291,     318,     348,     452
197512,     679,     523,     538,     606,     799,     386,     293,     262,     261,     278,     260,     289,     317,     348,     451
197601,     677,     522,     537,     603,     795,     384,     293,     261,     261,     278,     259,     288,     315,     345,     450
197602,     674,     521,     536,     600,     793,     383,     291,     261,     260,     277,     259,     287,     313,     345,     448
197603,     673,     519,     535,     600,     791,     382,     291,     260,     259,     276,     259,     287,     313,     343,     448
197604,     671,     518,     534,     599,     788,     381,     290,     259,     259,     275,     259,     286,     313,     343,     445
197605,     667,     517,     534,     597,     786,     377,     290,     258,     259,     275,     259,     285,     312,     342,     444
197606,     665,     517,     533,     595,     783,     375,     290,     258,     259,     274,     259,     284,     311,     340,     443
197607,     841,     620,     520,     632,     935,     486,     355,     357,     263,     271,     249,     320,     312,     358,     577
197608,     840,     617,     520,     631,     934,     486,     354,     355,     262,     271,     249,     320,     311,     358,     576
197609,     835,     616,     519,     629,     932,     482,     353,     354,     262,     270,     249,     318,     311,     358,     574
197610,     833,     615,     517,     628,     930,     481,     352,     353,     262,     269,     248,     317,     311,     358,     572
197611,     831,     615,     517,     626,     930,     481,     350,     353,     262,     269,     248,     315,     311,     358,     572
197612,     829,     615,     515,     625,     928,     480,     349,     353,     262,     268,     247,     314,     311,     357,     571
197701,     828,     611,     514,     623,     926,     479,     349,     352,     259,     268,     246,     313,     310,     356,     570
197702,     825,     610,     511,     620,     920,     477,     348,     352,     258,     266,     245,     311,     309,     353,     567
197703,     825,     608,     511,     617,     916,     477,     348,     352,     256,     266,     245,     310,     307,     352,     564
197704,     822,     605,     511,     617,     913,     474,     348,     352,     253,     266,     245,     310,     307,     351,     562
197705,     821,     604,     510,     617,     912,     473,     348,     352,     252,     265,     245,     310,     307,     350,     562
197706,     821,     600,     505,     614,     909,     473,     348,     348,     252,     263,     242,     308,     306,     349,     560
197707,     813,     556,     489,     651,    1081,     479,     334,     290,     266,     250,     239,     300,     351,     414,     667
197708,     810,     552,     487,     648,    1079,     477,     333,     288,     264,     249,     238,     299,     349,     413,     666
197709,     808,     549,     486,     646,    1075,     475,     333,     286,     263,     249,     237,     299,     347,     413,     662
197710,     805,     549,     484,     644,    1071,     473,     332,     286,     263,     248,     236,     297,     347,     411,     660
197711,     801,     545,     482,     642,    1071,     471,     330,     285,     260,     247,     235,     297,     345,     411,     660
197712,     800,     545,     482,     640,    1068,     470,     330,     285,     260,     247,     235,     296,     344,     408,     660
197801,     796,     543,     479,     636,    1063,     467,     329,     285,     258,     245,     234,     294,     342,     407,     656
197802,     788,     540,     476,     632,    1058,     462,     326,     284,     256,     244,     232,     292,     340,     405,     653
197803,     786,     540,     474,     630,    1053,     461,     325,     284,     256,     243,     231,     292,     338,     403,     650
197804,     785,     538,     474,     629,    1048,     460,     325,     282,     256,     243,     231,     291,     338,     403,     645
197805,     780,     538,     472,     625,    1043,     459,     321,     282,     256,     243,     229,     288,     337,     402,     641
197806,     776,     533,     471,     620,    1037,     455,     321,     279,     254,     242,     229,     286,     334,     401,     636
197807,     798,     545,     515,     540,    1106,     486,     312,     287,     258,     262,     253,     242,     298,     436,     670
197808,     797,     545,     515,     537,    1099,     486,     311,     287,     258,     262,     253,     241,     296,     433,     666
197809,     791,     541,     512,     534,    1090,     481,     310,     286,     255,     259,     253,     239,     295,     430,     660
197810,     786,     538,     511,     534,    1084,     478,     308,     285,     253,     258,     253,     239,     295,     428,     656
197811,     779,     537,     509,     534,    1081,     473,     306,     284,     253,     257,     252,     239,     295,     427,     654
197812,     776,     532,     508,     534,    1076,     471,     305,     281,     251,     256,     252,     239,     295,     425,     651
197901,     769,     532,     508,     531,    1070,     466,     303,     281,     251,     256,     252,     238,     293,     424,     646
197902,     768,     529,     500,     528,    1061,     466,     302,     279,     250,     252,     248,     235,     293,     421,     640
197903,     763,     527,     498,     525,    1057,     462,     301,     278,     249,     252,     246,     234,     291,     421,     636
197904,     758,     526,     497,     523,    1055,     458,     300,     278,     248,     251,     246,     234,     289,     420,     635
197905,     756,     524,     495,     522,    1044,     457,     299,     276,     248,     250,     245,     233,     289,     416,     628
197906,     754,     524,     494,     517,    1040,     455,     299,     276,     248,     249,     245,     229,     288,     413,     627
197907,     741,     524,     524,     644,    1035,     458,     283,     265,     259,     257,     267,     304,     340,     385,     650
197908,     733,     520,     522,     643,    1029,     453,     280,     263,     257,     257,     265,     304,     339,     383,     646
197909,     726,     517,     520,     641,    1024,     448,     278,     261,     256,     256,     264,     302,     339,     381,     643
197910,     721,     516,     519,     638,    1018,     444,     277,     261,     255,     255,     264,     302,     336,     380,     638
197911,     720,     515,     518,     637,    1016,     444,     276,     260,     255,     254,     264,     301,     336,     379,     637
197912,     718,     511,     517,     632,    1010,     442,     276,     259,     252,     253,     264,     300,     332,     376,     634
198001,     712,     507,     516,     630,    1004,     438,     274,     255,     252,     253,     263,     298,     332,     373,     631
198002,     705,     505,     514,     622,     997,     434,     271,     254,     251,     251,     263,     295,     327,     371,     626
198003,     703,     504,     510,     621,     991,     432,     271,     253,     251,     250,     260,     295,     326,     370,     621
198004,     697,     503,     510,     620,     987,     429,     268,     252,     251,     250,     260,     294,     326,     369,     618
198005,     694,     501,     506,     618,     984,     426,     268,     251,     250,     246,     260,     293,     325,     369,     615
198006,     689,     497,     504,     615,     979,     423,     266,     248,     249,     244,     260,     292,     323,     367,     612
198007,     793,     516,     536,     595,     935,     469,     324,     276,     240,     266,     270,     289,     306,     362,     573
198008,     790,     515,     536,     595,     933,     467,     323,     275,     240,     266,     270,     289,     306,     361,     572
198009,     790,     511,     535,     591,     927,     467,     323,     272,     239,     266,     269,     287,     304,     358,     569
198010,     782,     510,     530,     586,     924,     460,     322,     272,     238,     264,     266,     284,     302,     356,     568
198011,     778,     508,     530,     583,     922,     457,     321,     271,     237,     264,     266,     283,     300,     354,     568
198012,     775,     506,     527,     583,     917,     454,     321,     270,     236,     262,     265,     283,     300,     353,     564
