This file was created using the 202605 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on VAR.

The portfolios are constructed at the end of each month.

The total return variance is measured over 60 days up to formation month-end requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
197207,    1.32,   -0.29,   -2.22,   -4.99,   -5.40,    1.14,    1.66,   -0.83,    0.50,   -2.83,   -1.43,   -4.00,   -6.31,   -2.40,   -8.48
197208,    3.94,    3.72,    4.15,    3.41,   -0.27,    4.72,    3.11,    5.10,    2.43,    4.99,    2.94,    4.11,    2.49,    0.64,   -1.33
197209,    0.01,   -0.12,   -1.25,   -2.58,   -4.96,    0.42,   -0.34,    0.35,   -0.56,   -1.08,   -1.62,   -2.08,   -3.11,   -4.87,   -5.06
197210,    0.74,    2.33,    0.61,    0.01,   -2.48,    0.38,    1.05,    1.84,    3.03,    0.19,    1.02,   -0.84,    0.95,   -0.01,   -5.12
197211,    5.32,    3.65,    5.74,    6.07,    5.26,    6.24,    4.49,    3.92,    3.43,    6.57,    4.55,    6.56,    5.40,    5.82,    4.73
197212,    1.55,    2.10,   -0.03,   -1.43,   -2.43,    1.02,    2.09,    2.93,    0.98,   -0.86,    1.19,   -0.96,   -1.91,   -1.52,   -3.33
197301,   -0.94,   -2.08,   -4.55,   -7.02,  -10.37,    0.09,   -2.28,   -0.53,   -5.60,   -4.21,   -5.03,   -6.45,   -7.74,   -9.70,  -11.23
197302,   -3.09,   -4.46,   -5.13,   -7.43,  -10.18,   -2.91,   -3.43,   -4.32,   -4.60,   -4.51,   -5.97,   -8.38,   -6.50,   -9.29,  -10.90
197303,   -0.34,   -0.21,   -1.74,   -2.15,   -3.23,    0.18,   -1.05,   -0.03,   -0.48,   -1.74,   -1.75,   -1.22,   -3.66,   -2.04,   -4.22
197304,   -2.88,   -4.93,   -7.17,   -8.82,  -11.10,   -0.82,   -4.52,   -4.62,   -5.20,   -7.01,   -7.41,   -8.14,   -9.70,   -9.73,  -12.61
197305,   -1.73,   -0.98,   -3.58,   -3.15,  -10.18,   -1.90,   -1.47,   -1.27,   -0.65,   -2.98,   -4.42,   -1.65,   -5.86,   -7.99,  -12.59
197306,   -0.49,   -0.12,   -2.43,   -2.62,   -4.11,   -0.47,   -0.52,   -0.51,    0.30,   -1.25,   -4.21,   -1.31,   -4.40,   -3.26,   -4.93
197307,    1.52,    4.77,   10.22,   13.79,   17.26,    0.44,    2.21,    4.01,    6.09,    9.62,   10.82,   13.32,   14.51,   15.25,   19.97
197308,   -3.55,   -2.78,   -2.01,   -2.81,   -5.21,   -3.36,   -3.69,   -3.19,   -2.07,   -1.04,   -3.28,   -2.10,   -3.88,   -3.72,   -6.70
197309,    3.00,    5.37,    8.79,    8.53,   11.60,    5.57,    0.31,    4.51,    6.53,    8.65,    8.95,    7.91,    9.42,   12.67,   10.50
197310,   -0.46,    1.91,   -1.67,   -2.03,   -3.44,   -1.40,    1.01,    0.57,    3.26,   -0.24,   -3.62,   -1.30,   -3.09,   -2.80,   -4.09
197311,   -9.46,  -13.00,  -12.01,  -18.85,  -21.87,   -9.81,   -9.05,  -11.87,  -14.59,  -11.04,  -14.31,  -19.55,  -18.11,  -22.55,  -21.27
197312,    1.57,    1.66,    0.71,    0.23,   -1.83,    1.12,    2.06,    0.72,    2.37,   -0.39,    2.36,   -0.19,    0.86,   -2.15,   -1.52
197401,   -0.62,   -0.30,    0.12,    4.26,    9.96,    0.79,   -2.01,    1.31,   -2.17,   -0.12,    0.59,    4.88,    3.51,    8.20,   11.88
197402,    0.27,   -0.12,    0.17,    0.41,   -0.45,    0.82,   -0.31,   -0.72,    1.06,   -0.05,    0.59,   -0.11,    1.42,    0.51,   -1.56
197403,   -2.59,   -1.27,   -2.56,   -2.64,   -3.29,   -2.81,   -2.44,   -0.84,   -2.09,   -3.64,   -1.01,   -1.72,   -3.71,   -4.08,   -2.01
197404,   -4.53,   -3.98,   -3.64,   -6.18,   -7.21,   -6.73,   -2.92,   -4.90,   -2.97,   -3.16,   -4.28,   -5.14,   -7.26,   -6.55,   -8.25
197405,   -3.33,   -2.96,   -4.66,   -5.17,  -10.14,   -3.05,   -3.89,   -3.33,   -2.53,   -5.56,   -3.60,   -4.71,   -5.73,  -10.29,   -9.94
197406,   -1.72,   -1.26,   -3.17,   -3.58,   -6.54,   -0.70,   -4.14,   -0.58,   -2.56,   -3.86,   -2.30,   -2.65,   -5.18,   -5.44,   -7.73
