This file was created using the 202605 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on OP.

The portfolios are constructed at the end of June.  OP, operating profitability, is
operating profits (sales minus cost of goods sold, minus selling, general, and
administrative expenses, minus interest expense) divided by book equity
at the last fiscal year end of the prior calendar year.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

Please be aware that some of the value-weight averages of operating profitability for
deciles 1 and 10 are extreme. These are driven by extraordinary values of OP for
individual firms. We have spot checked the accounting data that produce the
extraordinary values and all the numbers we examined accurately reflect the
data in the firm's accounting statements.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weight Returns -- Monthly
,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Dec,9-Dec,Hi 10
  2015,   -7.66,   -2.44,   -8.68,   -9.69,   -0.82,   -0.80,   -7.38,   -9.22,  -12.80,   -3.85,    0.16,   -1.91,   -1.60,    0.09,   -7.14,   -7.58,   -6.73,  -11.71
  2016,   11.85,   29.19,   20.52,    7.63,   31.49,   27.00,   22.31,   20.88,   -1.00,   25.90,   27.61,   35.50,   30.20,   23.47,   24.91,   19.77,   23.55,   18.08
  2017,   20.10,   14.46,   17.34,   21.09,   14.20,   15.57,   16.13,   17.63,   25.12,   12.96,   16.58,   12.00,   14.00,   17.37,   15.48,   16.74,   21.81,   13.16
  2018,  -20.23,  -10.11,  -12.23,  -22.29,  -10.75,   -9.82,  -11.06,  -13.29,  -26.43,  -10.97,  -11.98,   -9.59,   -8.63,  -11.28,  -11.91,  -10.18,  -12.31,  -14.34
  2019,   21.88,   24.94,   23.14,   21.28,   23.71,   25.58,   23.35,   23.86,   21.65,   19.66,   23.48,   23.94,   25.47,   25.61,   24.84,   21.85,   24.32,   23.24
  2020,   55.72,   13.91,   20.54,   68.83,   10.81,   12.27,   24.49,   19.52,   86.81,   26.75,   12.97,    8.39,   10.75,   13.77,   26.08,   22.51,   18.95,   20.12
  2021,    7.31,   42.18,   32.18,    2.97,   30.57,   43.30,   44.64,   30.86,   -5.41,   26.94,   28.00,   32.28,   41.08,   45.89,   53.74,   35.04,   31.55,   30.01
  2022,  -37.41,  -10.59,  -15.35,  -41.60,  -11.68,   -9.76,  -13.76,  -16.25,  -46.38,  -27.02,  -14.11,   -9.45,   -7.76,  -11.78,  -14.17,  -13.18,  -14.85,  -18.13
  2023,    6.69,   15.08,   22.29,    4.48,   14.58,   14.80,   20.15,   23.98,    1.31,   12.83,   18.66,   10.73,   13.74,   15.89,   20.96,   19.46,   22.27,   25.81
  2024,    8.64,   14.07,    6.87,    7.80,   12.82,   14.31,   11.24,    6.53,    3.21,   20.08,   12.72,   12.91,   12.66,   16.06,   14.85,    7.41,    2.82,   10.32
